SID,quespaperID,dod,question,option1,option2,option3,option4
1,1,1,Following two expressions  $6 \times 3$ and $15 + 3$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $6 \times 3$ आणि  $15 + 3$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
1,1,1,Following two expressions  $2 \times 4$ and $19 - 11$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $2 \times 4$ आणि  $19 - 11$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
1,1,1,Following two expressions  $6 \times 3$ and $15 + 3$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $6 \times 3$ आणि  $15 + 3$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
1,1,1,Following two expressions  $11 - 5$ and $1 \times 6$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $11 - 5$ आणि  $1 \times 6$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
1,1,2,Following two expressions  $9 - 1$ and $9 \times 1$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $9 - 1$ आणि  $9 \times 1$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,False <br> # चूक,True <br> # बरोबर,,
1,1,2,Following two expressions  $5 \times 6$ and $11 + 6$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $5 \times 6$ आणि  $11 + 6$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,False <br> # चूक,True <br> # बरोबर,,
1,1,2,Following two expressions  $8 + 16$ and $5 - 20$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $8 + 16$ आणि  $5 - 20$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,False <br> # चूक,True <br> # बरोबर,,
1,1,3,"Match the pairs for equality / समीकरण तयार होतील अशा योग्य जोड्या जुळवा <br>\[
            \begin{array}{|c|c|c|c|}
            \hline
            \text{ } & \text{A}& \text{ } & \text{B} \\
            \hline
            1 & 86\ \times\ 49 & a. & 87\ -\ 12 \\
            \hline
            2 & 33\ \times\ 98 & b. & 77\ \times\ 42 \\
            \hline
            3 & 13\ +\ 62 & c. & 98\ \times\ 43 \\
            \hline
            4 & 28\ +\ 71 & d. & 56\ +\ 43 \\
            \hline
            \end{array}
            \]
        ","$1-c,2-b,3-a,4-d$","$1-b,2-c,3-a,4-d$","$1-c,2-a,3-b,4-d$","$1-c,2-b,3-d,4-a$"
1,1,3,Coffee Shop is $700$ metres from Factory. Medicine Shop is $950$ metres from Office. Which of the following statement is correct?<br>#कॉफी शॉप आणि कारखाना यातील अंतर $700$ मी आहे. तर औषधाचे दुकान आणि कार्यालय यातील अंतर $950$ मी आहे. तर खालील पैकी कोणते विधान बरोबर आहे?,Distance between Coffee Shop and Factory is not equal to distance between Medicine Shop and Office<br>#कॉफी शॉप ते कारखाना यातील अंतर आणि औषधाचे दुकान ते कार्यालय यातील अंतर समान नाही,Distance between Coffee Shop and Medicine Shop is same as distance between Factory and Office<br>#कॉफी शॉप ते औषधाचे दुकान यातील अंतर आणि कारखाना ते कार्यालय यातील अंतर समान आहे,Distance between Coffee Shop and Office is same as distance between Medicine Shop and Office<br>#कॉफी शॉप ते कार्यालय यातील अंतर आणि औषधाचे दुकान ते कार्यालय यातील अंतर समान आहे,Distance between Coffee Shop and Factory is equal to distance between Medicine Shop and Office<br>#कॉफी शॉप ते कारखाना यातील अंतर आणि औषधाचे दुकान ते कार्यालय यातील अंतर समान आहे
1,1,1,Following two expressions  $6 \times 3$ and $15 + 3$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $6 \times 3$ आणि  $15 + 3$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
1,1,1,Following two expressions  $6 \times 3$ and $15 + 3$ will form two sides (LHS and RHS) of an equation. <br> # खाली दिलेली दोन विधाने  $6 \times 3$ आणि  $15 + 3$ मिळून समीकरण (डावी बाजू = उजवी बाजू) बनवू शकतात.,True <br> # बरोबर,False <br> # चूक,,
